"Date","US_IP","US_IP_gr"
2008-04-01,99.37132,-1.51900704239232
2008-07-01,96.0954,-3.35220928170905
2008-10-01,91.98734,-4.36904891407401
2009-01-01,86.80274,-5.80127708960836
2009-04-01,84.40089,-2.80602414183502
2009-07-01,85.83384,1.68353877608709
2009-10-01,87.16769,1.54204003988339
2010-01-01,88.82774,1.88652538730167
2010-04-01,90.55605,1.92700074097054
2010-07-01,91.75803,1.31860075285211
2010-10-01,92.14383,0.419572228330001
2011-01-01,92.64056,0.537633288716588
2011-04-01,93.00644,0.394167935617595
2011-07-01,94.04443,1.10985921085218
2011-10-01,95.02229,1.03441654816834
2012-01-01,95.97697,0.99967711970903
2012-04-01,96.57458,0.620729273640119
2012-07-01,96.56176,-0.0132755959016073
2012-10-01,97.037,0.490954543907129
2013-01-01,97.79041,0.773416590177955
2013-04-01,98.22322,0.441612864773777
2013-07-01,98.62168,0.404847211417803
2013-10-01,99.28031,0.665614763830025
2014-01-01,99.96426,0.686545873214328
2014-04-01,101.341,1.36783456654443
2014-07-01,101.9191,0.568829355867084
2014-10-01,102.5184,0.586293333359311
2015-01-01,101.3736,-1.12295924339563
2015-04-01,99.9547,-1.40956188766479
2015-07-01,100.0191,0.0644084397319666
2015-10-01,98.65257,-1.37568839227074
2016-01-01,97.99034,-0.673538144368813
2016-04-01,97.62228,-0.376315632756175
2016-07-01,97.88821,0.272036721916002
2016-10-01,97.84122,-0.0480152636247233
2017-01-01,97.90347,0.0636032600409564
2017-04-01,99.27899,1.39519743579442
2017-07-01,98.97084,-0.310870630421078
2017-10-01,100.3545,1.38836559932427
2018-01-01,100.9124,0.554389647687525
2018-04-01,102.0777,1.14814742315525
2018-07-01,102.9375,0.838771994317611
2018-10-01,103.0706,0.129218238040352
2019-01-01,102.1109,-0.935471276556754
2019-04-01,101.4917,-0.608245581349465
2019-07-01,101.5491,0.0565403618673521
2019-10-01,100.9886,-0.553478617418612
2020-01-01,99.35066,-1.63520270272528
2020-04-01,86.61503,-13.7182255065261
2020-07-01,94.74783,8.97455842344277
2020-10-01,96.2394,1.56198959074221
2021-01-01,96.58043,0.35372954700108
2021-04-01,98.11884,1.58032643589117
2021-07-01,98.89897,0.791942695232617
2021-10-01,99.91589,1.02299080507438
2022-01-01,100.8377,0.91835615852256
2022-04-01,101.8558,1.00457938911189
2022-07-01,102.3967,0.529639798226
2022-10-01,101.7594,-0.624328217560688
2023-01-01,101.6957,-0.0626182406648468
2023-04-01,101.8944,0.19519619381283
2023-07-01,102.2995,0.396780248061024
2023-10-01,101.786,-0.503221525900788
2024-01-01,101.5016,-0.279800819669962
